Dates,Prices
1-Jan-1997,3.45
1-Feb-1997,2.15
1-Mar-1997,1.89
1-Apr-1997,2.03
1-May-1997,2.25
1-Jun-1997,2.20
1-Jul-1997,2.19
1-Aug-1997,2.49
1-Sep-1997,2.88
1-Oct-1997,3.07
1-Nov-1997,3.01
1-Dec-1997,2.35
1-Jan-1998,2.09
1-Feb-1998,2.23
1-Mar-1998,2.24
1-Apr-1998,2.43
1-May-1998,2.14
1-Jun-1998,2.17
1-Jul-1998,2.17
1-Aug-1998,1.85
1-Sep-1998,2.02
1-Oct-1998,1.91
1-Nov-1998,2.12
1-Dec-1998,1.72
1-Jan-1999,1.85
1-Feb-1999,1.77
1-Mar-1999,1.79
1-Apr-1999,2.15
1-May-1999,2.26
1-Jun-1999,2.30
1-Jul-1999,2.31
1-Aug-1999,2.80
1-Sep-1999,2.55
1-Oct-1999,2.73
1-Nov-1999,2.37
1-Dec-1999,2.36
1-Jan-2000,2.42
1-Feb-2000,2.66
1-Mar-2000,2.79
1-Apr-2000,3.04
1-May-2000,3.59
1-Jun-2000,4.29
1-Jul-2000,3.99
1-Aug-2000,4.43
1-Sep-2000,5.06
1-Oct-2000,5.02
1-Nov-2000,5.52
1-Dec-2000,8.90
1-Jan-2001,8.17
1-Feb-2001,5.61
1-Mar-2001,5.23
1-Apr-2001,5.19
1-May-2001,4.19
1-Jun-2001,3.72
1-Jul-2001,3.11
1-Aug-2001,2.97
1-Sep-2001,2.19
1-Oct-2001,2.46
1-Nov-2001,2.34
1-Dec-2001,2.30
1-Jan-2002,2.32
1-Feb-2002,2.32
1-Mar-2002,3.03
1-Apr-2002,3.43
1-May-2002,3.50
1-Jun-2002,3.26
1-Jul-2002,2.99
1-Aug-2002,3.09
1-Sep-2002,3.55
1-Oct-2002,4.13
1-Nov-2002,4.04
1-Dec-2002,4.74
1-Jan-2003,5.43
1-Feb-2003,7.71
1-Mar-2003,5.93
1-Apr-2003,5.26
1-May-2003,5.81
1-Jun-2003,5.82
1-Jul-2003,5.03
